case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,method_signature,verilog_path,aig_path,equivalent,simulation_pass,area,delay,adp,evaluate_log,notes
ex248,float_fp8,fp8-wide-r25,ex248_r25w_direct_pair_remainder_abc_g_and,E5M2FN packed fmod low mod high,direct denominator/numerator remainder correction table,shared invalid shell and direct pair correction for non-pass-through cases,ex248|E5M2FN packed fmod low mod high|direct denominator/numerator remainder correction table|shared invalid shell and direct pair correction for non-pass-through cases|abc_g_and|exact_e5m2fn_fmod_low_mod_high|den/num pair magnitude override|fp8_wide_r25,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/verilog/ex248_r25w_direct_pair_remainder_abc_g_and.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/aigs/ex248_r25w_direct_pair_remainder_abc_g_and.aig,1,1,3430,27,92610,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/logs/ex248_r25w_direct_pair_remainder_abc_g_and.evaluate.py.log,official evaluate.py status OK; synth=abc_g_and; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/logs/ex248_r25w_direct_pair_remainder_abc_g_and.yosys.log
ex248,float_fp8,fp8-wide-r25,ex248_r25w_direct_pair_remainder_abc_g_aig,E5M2FN packed fmod low mod high,direct denominator/numerator remainder correction table,shared invalid shell and direct pair correction for non-pass-through cases,ex248|E5M2FN packed fmod low mod high|direct denominator/numerator remainder correction table|shared invalid shell and direct pair correction for non-pass-through cases|abc_g_aig|exact_e5m2fn_fmod_low_mod_high|den/num pair magnitude override|fp8_wide_r25,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/verilog/ex248_r25w_direct_pair_remainder_abc_g_aig.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/aigs/ex248_r25w_direct_pair_remainder_abc_g_aig.aig,1,1,3408,25,85200,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/logs/ex248_r25w_direct_pair_remainder_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/logs/ex248_r25w_direct_pair_remainder_abc_g_aig.yosys.log
ex248,float_fp8,fp8-wide-r25,ex248_r25w_direct_pair_remainder_synth_preset_aig,E5M2FN packed fmod low mod high,direct denominator/numerator remainder correction table,shared invalid shell and direct pair correction for non-pass-through cases,ex248|E5M2FN packed fmod low mod high|direct denominator/numerator remainder correction table|shared invalid shell and direct pair correction for non-pass-through cases|synth_preset_aig|exact_e5m2fn_fmod_low_mod_high|den/num pair magnitude override|fp8_wide_r25,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/verilog/ex248_r25w_direct_pair_remainder_synth_preset_aig.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/aigs/ex248_r25w_direct_pair_remainder_synth_preset_aig.aig,1,1,3281,27,88587,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/logs/ex248_r25w_direct_pair_remainder_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-wide-r25/ex248/logs/ex248_r25w_direct_pair_remainder_synth_preset_aig.yosys.log
ex247,float_fp8,fp8-worst-r25,ex247_unknown_shared_bdd_16x8_order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0_official,truth-derived shared BDD exact structural fallback,shared ROBDD over interleaved high/low FP8 operand bits,shared BDD nodes across all eight output bits,ex247|truth-derived exact function|shared ROBDD interleaved high-low bits|shared multi-output BDD nodes|yosys_default_AND_then_evaluate.py|exact_truth_table|bitplane_roots,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex247/verilog/ex247_unknown_shared_bdd_16x8_order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex247/aigs/ex247_unknown_shared_bdd_16x8_order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0.aig,1,not_run,1007,21,21147,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex247/logs/ex247_unknown_shared_bdd_16x8_order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0_official.evaluate.py.log,official evaluate.py status OK
ex246,float_fp8,fp8-worst-r25,ex246_unknown_shared_bdd_16x8_order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0_official,truth-derived shared BDD exact structural fallback,shared ROBDD over interleaved high/low FP8 operand bits,shared BDD nodes across all eight output bits,ex246|truth-derived exact function|shared ROBDD interleaved high-low bits|shared multi-output BDD nodes|yosys_default_AND_then_evaluate.py|exact_truth_table|bitplane_roots,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex246/verilog/ex246_unknown_shared_bdd_16x8_order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex246/aigs/ex246_unknown_shared_bdd_16x8_order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0.aig,1,not_run,998,21,20958,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex246/logs/ex246_unknown_shared_bdd_16x8_order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0_official.evaluate.py.log,official evaluate.py status OK
ex244,float_fp8,fp8-worst-r25,ex244_unknown_shared_bdd_16x8_order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0_official,truth-derived shared BDD exact structural fallback,shared ROBDD over interleaved high/low FP8 operand bits,shared BDD nodes across all eight output bits,ex244|truth-derived exact function|shared ROBDD interleaved high-low bits|shared multi-output BDD nodes|yosys_default_AND_then_evaluate.py|exact_truth_table|bitplane_roots,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex244/verilog/ex244_unknown_shared_bdd_16x8_order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex244/aigs/ex244_unknown_shared_bdd_16x8_order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0.aig,1,not_run,695,22,15290,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex244/logs/ex244_unknown_shared_bdd_16x8_order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0_official.evaluate.py.log,official evaluate.py status OK
ex240,float_fp8,fp8-worst-r25,ex240_unknown_shared_bdd_16x8_order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0_official,truth-derived shared BDD exact structural fallback,shared ROBDD over interleaved high/low FP8 operand bits,shared BDD nodes across all eight output bits,ex240|truth-derived exact function|shared ROBDD interleaved high-low bits|shared multi-output BDD nodes|yosys_default_AND_then_evaluate.py|exact_truth_table|bitplane_roots,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex240/aigs/ex240_unknown_shared_bdd_16x8_order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0.aig,1,not_run,2786,26,72436,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex240/logs/ex240_unknown_shared_bdd_16x8_order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0_official.evaluate.py.log,official evaluate.py status OK
ex247,float_fp8,fp8-worst-r25,ex247_resynth_noabc_aigmap,current semantic frontend source alternate mapping probe,current best source replay with materially different Yosys/AIG mapping flow,inherits source-level shared decode from current frontend best,ex247|current frontend best source|alternate synth mapping resynth_noabc_aigmap|reuse existing source shared decode|resynth_noabc_aigmap_evaluate.py|E5M2FN packed low-over-high division with boundary-first region mux|full_output,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex247/verilog/ex247_resynth_noabc_aigmap.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex247/aigs/ex247_resynth_noabc_aigmap.aig,1,not_run,604,43,25972,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex247/logs/ex247_resynth_noabc_aigmap.evaluate.py.log,official evaluate.py status OK
ex247,float_fp8,fp8-worst-r25,ex247_resynth_abc_g_aig,current semantic frontend source alternate mapping probe,current best source replay with materially different Yosys/AIG mapping flow,inherits source-level shared decode from current frontend best,ex247|current frontend best source|alternate synth mapping resynth_abc_g_aig|reuse existing source shared decode|resynth_abc_g_aig_evaluate.py|E5M2FN packed low-over-high division with boundary-first region mux|full_output,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex247/verilog/ex247_resynth_abc_g_aig.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex247/aigs/ex247_resynth_abc_g_aig.aig,1,not_run,363,23,8349,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex247/logs/ex247_resynth_abc_g_aig.evaluate.py.log,official evaluate.py status OK
ex246,float_fp8,fp8-worst-r25,ex246_resynth_noabc_aigmap,current semantic frontend source alternate mapping probe,current best source replay with materially different Yosys/AIG mapping flow,inherits source-level shared decode from current frontend best,ex246|current frontend best source|alternate synth mapping resynth_noabc_aigmap|reuse existing source shared decode|resynth_noabc_aigmap_evaluate.py|current_frontend_semantics|full_output,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex246/verilog/ex246_resynth_noabc_aigmap.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex246/aigs/ex246_resynth_noabc_aigmap.aig,1,not_run,1211,34,41174,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex246/logs/ex246_resynth_noabc_aigmap.evaluate.py.log,official evaluate.py status OK
ex246,float_fp8,fp8-worst-r25,ex246_resynth_abc_g_aig,current semantic frontend source alternate mapping probe,current best source replay with materially different Yosys/AIG mapping flow,inherits source-level shared decode from current frontend best,ex246|current frontend best source|alternate synth mapping resynth_abc_g_aig|reuse existing source shared decode|resynth_abc_g_aig_evaluate.py|current_frontend_semantics|full_output,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex246/verilog/ex246_resynth_abc_g_aig.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex246/aigs/ex246_resynth_abc_g_aig.aig,1,not_run,354,24,8496,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex246/logs/ex246_resynth_abc_g_aig.evaluate.py.log,official evaluate.py status OK
ex244,float_fp8,fp8-worst-r25,ex244_resynth_noabc_aigmap,current semantic frontend source alternate mapping probe,current best source replay with materially different Yosys/AIG mapping flow,inherits source-level shared decode from current frontend best,ex244|current frontend best source|alternate synth mapping resynth_noabc_aigmap|reuse existing source shared decode|resynth_noabc_aigmap_evaluate.py|current_frontend_semantics|full_output,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex244/verilog/ex244_resynth_noabc_aigmap.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex244/aigs/ex244_resynth_noabc_aigmap.aig,1,not_run,509,58,29522,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex244/logs/ex244_resynth_noabc_aigmap.evaluate.py.log,official evaluate.py status OK
ex244,float_fp8,fp8-worst-r25,ex244_resynth_abc_g_aig,current semantic frontend source alternate mapping probe,current best source replay with materially different Yosys/AIG mapping flow,inherits source-level shared decode from current frontend best,ex244|current frontend best source|alternate synth mapping resynth_abc_g_aig|reuse existing source shared decode|resynth_abc_g_aig_evaluate.py|current_frontend_semantics|full_output,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex244/verilog/ex244_resynth_abc_g_aig.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex244/aigs/ex244_resynth_abc_g_aig.aig,1,not_run,312,37,11544,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex244/logs/ex244_resynth_abc_g_aig.evaluate.py.log,official evaluate.py status OK
ex240,float_fp8,fp8-worst-r25,ex240_resynth_noabc_aigmap,current semantic frontend source alternate mapping probe,current best source replay with materially different Yosys/AIG mapping flow,inherits source-level shared decode from current frontend best,ex240|current frontend best source|alternate synth mapping resynth_noabc_aigmap|reuse existing source shared decode|resynth_noabc_aigmap_evaluate.py|current_frontend_semantics|full_output,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex240/verilog/ex240_resynth_noabc_aigmap.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex240/aigs/ex240_resynth_noabc_aigmap.aig,1,not_run,1116,90,100440,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex240/logs/ex240_resynth_noabc_aigmap.evaluate.py.log,official evaluate.py status OK
ex240,float_fp8,fp8-worst-r25,ex240_resynth_abc_g_aig,current semantic frontend source alternate mapping probe,current best source replay with materially different Yosys/AIG mapping flow,inherits source-level shared decode from current frontend best,ex240|current frontend best source|alternate synth mapping resynth_abc_g_aig|reuse existing source shared decode|resynth_abc_g_aig_evaluate.py|current_frontend_semantics|full_output,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex240/verilog/ex240_resynth_abc_g_aig.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex240/aigs/ex240_resynth_abc_g_aig.aig,1,not_run,626,50,31300,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex240/logs/ex240_resynth_abc_g_aig.evaluate.py.log,official evaluate.py status OK
ex285,unknown,unknown-routing-r25,ex285_unknown_symcof_interleave_f00_k3_onehot_group,hamming_weight_preserving_lossy_routing_normalizer,interleave_f00_k3_onehot_group,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f00_k3_onehot_group,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/verilog/ex285_unknown_symcof_interleave_f00_k3_onehot_group.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/aigs/ex285_unknown_symcof_interleave_f00_k3_onehot_group.aig,1,1,1022,17,17374,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/logs/ex285_unknown_symcof_interleave_f00_k3_onehot_group.evaluate.py.log,official evaluate.py OK
ex285,unknown,unknown-routing-r25,ex285_unknown_symcof_interleave_f00_k3_tree_group,hamming_weight_preserving_lossy_routing_normalizer,interleave_f00_k3_tree_group,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f00_k3_tree_group,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/verilog/ex285_unknown_symcof_interleave_f00_k3_tree_group.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/aigs/ex285_unknown_symcof_interleave_f00_k3_tree_group.aig,1,1,1057,18,19026,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/logs/ex285_unknown_symcof_interleave_f00_k3_tree_group.evaluate.py.log,official evaluate.py OK
ex285,unknown,unknown-routing-r25,ex285_unknown_symcof_interleave_f00_k4_onehot_group,hamming_weight_preserving_lossy_routing_normalizer,interleave_f00_k4_onehot_group,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f00_k4_onehot_group,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/verilog/ex285_unknown_symcof_interleave_f00_k4_onehot_group.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/aigs/ex285_unknown_symcof_interleave_f00_k4_onehot_group.aig,1,1,1045,15,15675,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/logs/ex285_unknown_symcof_interleave_f00_k4_onehot_group.evaluate.py.log,official evaluate.py OK
ex285,unknown,unknown-routing-r25,ex285_unknown_symcof_interleave_f00_k4_tree_group,hamming_weight_preserving_lossy_routing_normalizer,interleave_f00_k4_tree_group,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f00_k4_tree_group,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/verilog/ex285_unknown_symcof_interleave_f00_k4_tree_group.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/aigs/ex285_unknown_symcof_interleave_f00_k4_tree_group.aig,1,1,1136,17,19312,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/logs/ex285_unknown_symcof_interleave_f00_k4_tree_group.evaluate.py.log,official evaluate.py OK
ex285,unknown,unknown-routing-r25,ex285_unknown_symcof_interleave_f00_k5_onehot_group,hamming_weight_preserving_lossy_routing_normalizer,interleave_f00_k5_onehot_group,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f00_k5_onehot_group,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/verilog/ex285_unknown_symcof_interleave_f00_k5_onehot_group.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/aigs/ex285_unknown_symcof_interleave_f00_k5_onehot_group.aig,1,1,1160,14,16240,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/logs/ex285_unknown_symcof_interleave_f00_k5_onehot_group.evaluate.py.log,official evaluate.py OK
ex285,unknown,unknown-routing-r25,ex285_unknown_symcof_interleave_f00_k5_tree_group,hamming_weight_preserving_lossy_routing_normalizer,interleave_f00_k5_tree_group,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f00_k5_tree_group,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/verilog/ex285_unknown_symcof_interleave_f00_k5_tree_group.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/aigs/ex285_unknown_symcof_interleave_f00_k5_tree_group.aig,1,1,1295,17,22015,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/logs/ex285_unknown_symcof_interleave_f00_k5_tree_group.evaluate.py.log,official evaluate.py OK
ex285,unknown,unknown-routing-r25,ex285_unknown_symcof_interleave_f10_k3_onehot_group,hamming_weight_preserving_lossy_routing_normalizer,interleave_f10_k3_onehot_group,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f10_k3_onehot_group,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/verilog/ex285_unknown_symcof_interleave_f10_k3_onehot_group.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/aigs/ex285_unknown_symcof_interleave_f10_k3_onehot_group.aig,1,1,1037,17,17629,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/logs/ex285_unknown_symcof_interleave_f10_k3_onehot_group.evaluate.py.log,official evaluate.py OK
ex285,unknown,unknown-routing-r25,ex285_unknown_symcof_interleave_f10_k3_tree_group,hamming_weight_preserving_lossy_routing_normalizer,interleave_f10_k3_tree_group,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f10_k3_tree_group,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/verilog/ex285_unknown_symcof_interleave_f10_k3_tree_group.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/aigs/ex285_unknown_symcof_interleave_f10_k3_tree_group.aig,1,1,1054,17,17918,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/logs/ex285_unknown_symcof_interleave_f10_k3_tree_group.evaluate.py.log,official evaluate.py OK
ex285,unknown,unknown-routing-r25,ex285_unknown_symcof_interleave_f10_k4_onehot_group,hamming_weight_preserving_lossy_routing_normalizer,interleave_f10_k4_onehot_group,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f10_k4_onehot_group,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/verilog/ex285_unknown_symcof_interleave_f10_k4_onehot_group.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/aigs/ex285_unknown_symcof_interleave_f10_k4_onehot_group.aig,1,1,1042,15,15630,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/logs/ex285_unknown_symcof_interleave_f10_k4_onehot_group.evaluate.py.log,official evaluate.py OK
ex285,unknown,unknown-routing-r25,ex285_unknown_symcof_interleave_f10_k4_tree_group,hamming_weight_preserving_lossy_routing_normalizer,interleave_f10_k4_tree_group,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f10_k4_tree_group,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/verilog/ex285_unknown_symcof_interleave_f10_k4_tree_group.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/aigs/ex285_unknown_symcof_interleave_f10_k4_tree_group.aig,1,1,1139,18,20502,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/logs/ex285_unknown_symcof_interleave_f10_k4_tree_group.evaluate.py.log,official evaluate.py OK
ex285,unknown,unknown-routing-r25,ex285_unknown_symcof_interleave_f10_k5_onehot_group,hamming_weight_preserving_lossy_routing_normalizer,interleave_f10_k5_onehot_group,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f10_k5_onehot_group,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/verilog/ex285_unknown_symcof_interleave_f10_k5_onehot_group.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/aigs/ex285_unknown_symcof_interleave_f10_k5_onehot_group.aig,1,1,1165,14,16310,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/logs/ex285_unknown_symcof_interleave_f10_k5_onehot_group.evaluate.py.log,official evaluate.py OK
ex285,unknown,unknown-routing-r25,ex285_unknown_symcof_interleave_f10_k5_tree_group,hamming_weight_preserving_lossy_routing_normalizer,interleave_f10_k5_tree_group,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f10_k5_tree_group,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/verilog/ex285_unknown_symcof_interleave_f10_k5_tree_group.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/aigs/ex285_unknown_symcof_interleave_f10_k5_tree_group.aig,1,1,1284,17,21828,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/logs/ex285_unknown_symcof_interleave_f10_k5_tree_group.evaluate.py.log,official evaluate.py OK
ex285,unknown,unknown-routing-r25,ex285_unknown_symcof_sym_first_f00_k3_onehot_group,hamming_weight_preserving_lossy_routing_normalizer,sym_first_f00_k3_onehot_group,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|sym_first_f00_k3_onehot_group,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/verilog/ex285_unknown_symcof_sym_first_f00_k3_onehot_group.v,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/aigs/ex285_unknown_symcof_sym_first_f00_k3_onehot_group.aig,1,1,3557,17,60469,student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/unknown-routing-r25/ex285/logs/ex285_unknown_symcof_sym_first_f00_k3_onehot_group.evaluate.py.log,official evaluate.py OK
