case,domain,agent_id,candidate_id,method_signature,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes,status,official_output_dir,runtime_sec
ex242,float_fp8,fp8-r26,ex242_r26_bound_direct_nested_abc_g_aig,ex242|E4M3FN packed low-over-high division|direct boundary magnitude attributes nested by denominator|shared sign exponent delta sig decode zero sat low and linear predicates|yosys_multi_official_evaluate|exact_e4m3fn_div_low_over_high|boundary_region_magnitude|abc_g_aig,NOT_EQUIV,0,,,,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/verilog/ex242_r26_bound_direct_nested_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/aigs/ex242_r26_bound_direct_nested_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/logs/ex242_r26_bound_direct_nested_abc_g_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=abc_g_aig; runtime_sec=0.779; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/logs/ex242_r26_bound_direct_nested_abc_g_aig.yosys.log,NOT_EQUIV,,
ex242,float_fp8,fp8-r26,ex242_r26_bound_direct_nested_synth_preset_aig,ex242|E4M3FN packed low-over-high division|direct boundary magnitude attributes nested by denominator|shared sign exponent delta sig decode zero sat low and linear predicates|yosys_multi_official_evaluate|exact_e4m3fn_div_low_over_high|boundary_region_magnitude|synth_preset_aig,NOT_EQUIV,0,,,,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/verilog/ex242_r26_bound_direct_nested_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/aigs/ex242_r26_bound_direct_nested_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/logs/ex242_r26_bound_direct_nested_synth_preset_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig; runtime_sec=0.740; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/logs/ex242_r26_bound_direct_nested_synth_preset_aig.yosys.log,NOT_EQUIV,,
ex242,float_fp8,fp8-r26,ex242_r26_formula_bit_exception_abc_g_aig,ex242|E4M3FN packed low-over-high division|formula bit exceptions|shared sign exponent delta sig decode and bitwise exception predicates|yosys_multi_official_evaluate|exact_e4m3fn_div_low_over_high|bit_exception_quotient|abc_g_aig,OK,1,1423,25,35575,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/verilog/ex242_r26_formula_bit_exception_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/aigs/ex242_r26_formula_bit_exception_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/logs/ex242_r26_formula_bit_exception_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=2.506; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/logs/ex242_r26_formula_bit_exception_abc_g_aig.yosys.log,OK,,
ex242,float_fp8,fp8-r26,ex242_r26_formula_bit_exception_synth_preset_aig,ex242|E4M3FN packed low-over-high division|formula bit exceptions|shared sign exponent delta sig decode and bitwise exception predicates|yosys_multi_official_evaluate|exact_e4m3fn_div_low_over_high|bit_exception_quotient|synth_preset_aig,OK,1,1328,25,33200,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/verilog/ex242_r26_formula_bit_exception_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/aigs/ex242_r26_formula_bit_exception_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/logs/ex242_r26_formula_bit_exception_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=3.020; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/logs/ex242_r26_formula_bit_exception_synth_preset_aig.yosys.log,OK,,
ex244,float_fp8,fp8-r26,ex244_r26_threshold_packed_abc_g_aig,ex244|E4M3FN packed hypot|packed small-gap threshold predicates|shared abs max/min decode gap sig thresholds and saturating max-plus-delta|yosys_multi_official_evaluate|exact_e4m3fn_hypot_abs_high_low|max_plus_threshold_delta|abc_g_aig,OK,1,292,42,12264,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex244/verilog/ex244_r26_threshold_packed_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex244/aigs/ex244_r26_threshold_packed_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex244/logs/ex244_r26_threshold_packed_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.794; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex244/logs/ex244_r26_threshold_packed_abc_g_aig.yosys.log,OK,,
ex244,float_fp8,fp8-r26,ex244_r26_threshold_packed_synth_preset_aig,ex244|E4M3FN packed hypot|packed small-gap threshold predicates|shared abs max/min decode gap sig thresholds and saturating max-plus-delta|yosys_multi_official_evaluate|exact_e4m3fn_hypot_abs_high_low|max_plus_threshold_delta|synth_preset_aig,OK,1,286,39,11154,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex244/verilog/ex244_r26_threshold_packed_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex244/aigs/ex244_r26_threshold_packed_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex244/logs/ex244_r26_threshold_packed_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=0.976; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex244/logs/ex244_r26_threshold_packed_synth_preset_aig.yosys.log,OK,,
ex244,float_fp8,fp8-r26,ex244_r26_threshold_maxeff_abc_g_aig,ex244|E4M3FN packed hypot|max-eff threshold-packed delta predicates|shared max_eff gap sig threshold predicates and saturation context|yosys_multi_official_evaluate|exact_e4m3fn_hypot_abs_high_low|maxeff_threshold_delta|abc_g_aig,OK,1,362,42,15204,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex244/verilog/ex244_r26_threshold_maxeff_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex244/aigs/ex244_r26_threshold_maxeff_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex244/logs/ex244_r26_threshold_maxeff_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.917; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex244/logs/ex244_r26_threshold_maxeff_abc_g_aig.yosys.log,OK,,
ex244,float_fp8,fp8-r26,ex244_r26_threshold_maxeff_synth_preset_aig,ex244|E4M3FN packed hypot|max-eff threshold-packed delta predicates|shared max_eff gap sig threshold predicates and saturation context|yosys_multi_official_evaluate|exact_e4m3fn_hypot_abs_high_low|maxeff_threshold_delta|synth_preset_aig,OK,1,351,40,14040,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex244/verilog/ex244_r26_threshold_maxeff_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex244/aigs/ex244_r26_threshold_maxeff_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex244/logs/ex244_r26_threshold_maxeff_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=1.063; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex244/logs/ex244_r26_threshold_maxeff_synth_preset_aig.yosys.log,OK,,
ex245,float_fp8,fp8-r26,ex245_r26_gap4_norm_abc_g_aig,ex245|E5M2FN packed add|gap-limited arithmetic normalizer|shared sorted magnitude decode gap same diff and compact normalizer predicates|yosys_multi_official_evaluate|exact_e5m2fn_add_high_plus_low|gap_limited_add_output|abc_g_aig,OK,1,602,70,42140,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex245/verilog/ex245_r26_gap4_norm_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex245/aigs/ex245_r26_gap4_norm_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex245/logs/ex245_r26_gap4_norm_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=1.302; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex245/logs/ex245_r26_gap4_norm_abc_g_aig.yosys.log,OK,,
ex245,float_fp8,fp8-r26,ex245_r26_gap4_norm_synth_preset_aig,ex245|E5M2FN packed add|gap-limited arithmetic normalizer|shared sorted magnitude decode gap same diff and compact normalizer predicates|yosys_multi_official_evaluate|exact_e5m2fn_add_high_plus_low|gap_limited_add_output|synth_preset_aig,OK,1,673,72,48456,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex245/verilog/ex245_r26_gap4_norm_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex245/aigs/ex245_r26_gap4_norm_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex245/logs/ex245_r26_gap4_norm_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=1.486; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex245/logs/ex245_r26_gap4_norm_synth_preset_aig.yosys.log,OK,,
ex245,float_fp8,fp8-r26,ex245_r26_gap_class_abc_g_aig,ex245|E5M2FN packed add|gap class formula with shared same/diff decode|shared sorted fields gap sig class formulas and special shell|yosys_multi_official_evaluate|exact_e5m2fn_add_high_plus_low|gap_class_outputs|abc_g_aig,OK,1,719,34,24446,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex245/verilog/ex245_r26_gap_class_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex245/aigs/ex245_r26_gap_class_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex245/logs/ex245_r26_gap_class_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=1.983; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex245/logs/ex245_r26_gap_class_abc_g_aig.yosys.log,OK,,
ex245,float_fp8,fp8-r26,ex245_r26_gap_class_synth_preset_aig,ex245|E5M2FN packed add|gap class formula with shared same/diff decode|shared sorted fields gap sig class formulas and special shell|yosys_multi_official_evaluate|exact_e5m2fn_add_high_plus_low|gap_class_outputs|synth_preset_aig,OK,1,701,34,23834,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex245/verilog/ex245_r26_gap_class_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex245/aigs/ex245_r26_gap_class_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex245/logs/ex245_r26_gap_class_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=2.350; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex245/logs/ex245_r26_gap_class_synth_preset_aig.yosys.log,OK,,
ex246,float_fp8,fp8-r26,ex246_r26_qclass_seed12_abc_g_aig,ex246|E5M2FN packed multiply|qclass small-pattern seed12 residuals|shared sign exponent product qclass boundary and low-pattern predicates|yosys_multi_official_evaluate|exact_e5m2fn_mul_high_times_low|qclass_smallpat_magnitude|abc_g_aig,OK,1,380,25,9500,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex246/verilog/ex246_r26_qclass_seed12_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex246/aigs/ex246_r26_qclass_seed12_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex246/logs/ex246_r26_qclass_seed12_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=1.569; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex246/logs/ex246_r26_qclass_seed12_abc_g_aig.yosys.log,OK,,
ex246,float_fp8,fp8-r26,ex246_r26_qclass_seed12_synth_preset_aig,ex246|E5M2FN packed multiply|qclass small-pattern seed12 residuals|shared sign exponent product qclass boundary and low-pattern predicates|yosys_multi_official_evaluate|exact_e5m2fn_mul_high_times_low|qclass_smallpat_magnitude|synth_preset_aig,OK,1,371,24,8904,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex246/verilog/ex246_r26_qclass_seed12_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex246/aigs/ex246_r26_qclass_seed12_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex246/logs/ex246_r26_qclass_seed12_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=1.845; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex246/logs/ex246_r26_qclass_seed12_synth_preset_aig.yosys.log,OK,,
ex246,float_fp8,fp8-r26,ex246_r26_bound_seed12_abc_g_aig,ex246|E5M2FN packed multiply|bound small-pattern seed12 residuals|shared sign exponent product zero sat low-pattern and linear predicates|yosys_multi_official_evaluate|exact_e5m2fn_mul_high_times_low|bound_smallpat_magnitude|abc_g_aig,OK,1,346,30,10380,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex246/verilog/ex246_r26_bound_seed12_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex246/aigs/ex246_r26_bound_seed12_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex246/logs/ex246_r26_bound_seed12_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.738; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex246/logs/ex246_r26_bound_seed12_abc_g_aig.yosys.log,OK,,
ex246,float_fp8,fp8-r26,ex246_r26_bound_seed12_synth_preset_aig,ex246|E5M2FN packed multiply|bound small-pattern seed12 residuals|shared sign exponent product zero sat low-pattern and linear predicates|yosys_multi_official_evaluate|exact_e5m2fn_mul_high_times_low|bound_smallpat_magnitude|synth_preset_aig,OK,1,338,30,10140,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex246/verilog/ex246_r26_bound_seed12_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex246/aigs/ex246_r26_bound_seed12_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex246/logs/ex246_r26_bound_seed12_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=0.938; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex246/logs/ex246_r26_bound_seed12_synth_preset_aig.yosys.log,OK,,
ex247,float_fp8,fp8-r26,ex247_r26_qclass_nested_abc_g_aig,ex247|E5M2FN packed low-over-high division|nested quotient-class small-pattern residuals|shared sign exponent delta sig qclass boundary and low-pattern predicates|yosys_multi_official_evaluate|exact_e5m2fn_div_low_over_high|qclass_smallpat_outputs|abc_g_aig,OK,1,339,30,10170,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex247/verilog/ex247_r26_qclass_nested_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex247/aigs/ex247_r26_qclass_nested_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex247/logs/ex247_r26_qclass_nested_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.779; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex247/logs/ex247_r26_qclass_nested_abc_g_aig.yosys.log,OK,,
ex247,float_fp8,fp8-r26,ex247_r26_qclass_nested_synth_preset_aig,ex247|E5M2FN packed low-over-high division|nested quotient-class small-pattern residuals|shared sign exponent delta sig qclass boundary and low-pattern predicates|yosys_multi_official_evaluate|exact_e5m2fn_div_low_over_high|qclass_smallpat_outputs|synth_preset_aig,OK,1,309,30,9270,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex247/verilog/ex247_r26_qclass_nested_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex247/aigs/ex247_r26_qclass_nested_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex247/logs/ex247_r26_qclass_nested_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=0.946; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex247/logs/ex247_r26_qclass_nested_synth_preset_aig.yosys.log,OK,,
ex247,float_fp8,fp8-r26,ex247_r26_bound_nested_num_abc_g_aig,ex247|E5M2FN packed low-over-high division|numerator-nested bound small-pattern residuals|shared sign exponent delta numerator-first boundary attrs and low-pattern predicates|yosys_multi_official_evaluate|exact_e5m2fn_div_low_over_high|num_nested_bound_outputs|abc_g_aig,OK,1,376,25,9400,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex247/verilog/ex247_r26_bound_nested_num_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex247/aigs/ex247_r26_bound_nested_num_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex247/logs/ex247_r26_bound_nested_num_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.815; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex247/logs/ex247_r26_bound_nested_num_abc_g_aig.yosys.log,OK,,
ex247,float_fp8,fp8-r26,ex247_r26_bound_nested_num_synth_preset_aig,ex247|E5M2FN packed low-over-high division|numerator-nested bound small-pattern residuals|shared sign exponent delta numerator-first boundary attrs and low-pattern predicates|yosys_multi_official_evaluate|exact_e5m2fn_div_low_over_high|num_nested_bound_outputs|synth_preset_aig,OK,1,374,26,9724,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex247/verilog/ex247_r26_bound_nested_num_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex247/aigs/ex247_r26_bound_nested_num_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex247/logs/ex247_r26_bound_nested_num_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=1.038; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex247/logs/ex247_r26_bound_nested_num_synth_preset_aig.yosys.log,OK,,
ex248,float_fp8,fp8-r26,ex248_r26_periodic_formula_norm_abc_g_aig,ex248|E5M2FN packed fmod low mod high|periodic residue with formulaic normalizer|shared divisor sig exponent delta mod12 residue and normalizer predicates|yosys_multi_official_evaluate|exact_e5m2fn_fmod_low_mod_high|periodic_formula_norm_output|abc_g_aig,OK,1,286,35,10010,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex248/verilog/ex248_r26_periodic_formula_norm_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex248/aigs/ex248_r26_periodic_formula_norm_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex248/logs/ex248_r26_periodic_formula_norm_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.773; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex248/logs/ex248_r26_periodic_formula_norm_abc_g_aig.yosys.log,OK,,
ex248,float_fp8,fp8-r26,ex248_r26_periodic_formula_norm_synth_preset_aig,ex248|E5M2FN packed fmod low mod high|periodic residue with formulaic normalizer|shared divisor sig exponent delta mod12 residue and normalizer predicates|yosys_multi_official_evaluate|exact_e5m2fn_fmod_low_mod_high|periodic_formula_norm_output|synth_preset_aig,OK,1,277,33,9141,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex248/verilog/ex248_r26_periodic_formula_norm_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex248/aigs/ex248_r26_periodic_formula_norm_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex248/logs/ex248_r26_periodic_formula_norm_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=0.750; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex248/logs/ex248_r26_periodic_formula_norm_synth_preset_aig.yosys.log,OK,,
ex248,float_fp8,fp8-r26,ex248_r26_modsig_nested_delta_abc_g_aig,ex248|E5M2FN packed fmod low mod high|modular significand nested delta table|shared divisor sig exponent delta modulo residue and nested residual table|yosys_multi_official_evaluate|exact_e5m2fn_fmod_low_mod_high|nested_modsig_delta_output|abc_g_aig,OK,1,508,31,15748,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex248/verilog/ex248_r26_modsig_nested_delta_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex248/aigs/ex248_r26_modsig_nested_delta_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex248/logs/ex248_r26_modsig_nested_delta_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.900; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex248/logs/ex248_r26_modsig_nested_delta_abc_g_aig.yosys.log,OK,,
ex248,float_fp8,fp8-r26,ex248_r26_modsig_nested_delta_synth_preset_aig,ex248|E5M2FN packed fmod low mod high|modular significand nested delta table|shared divisor sig exponent delta modulo residue and nested residual table|yosys_multi_official_evaluate|exact_e5m2fn_fmod_low_mod_high|nested_modsig_delta_output|synth_preset_aig,OK,1,476,32,15232,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex248/verilog/ex248_r26_modsig_nested_delta_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex248/aigs/ex248_r26_modsig_nested_delta_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex248/logs/ex248_r26_modsig_nested_delta_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=1.007; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex248/logs/ex248_r26_modsig_nested_delta_synth_preset_aig.yosys.log,OK,,
ex249,float_fp8,fp8-r26,ex249_r26_threshold_formula_abc_g_aig,ex249|E5M2FN packed hypot|handwritten gap0 gap1 threshold predicates|shared abs max/min raw exponent sig thresholds and saturation guard|yosys_multi_official_evaluate|exact_e5m2fn_hypot_abs_high_low|formula_threshold_delta|abc_g_aig,OK,1,168,36,6048,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex249/verilog/ex249_r26_threshold_formula_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex249/aigs/ex249_r26_threshold_formula_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex249/logs/ex249_r26_threshold_formula_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.650; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex249/logs/ex249_r26_threshold_formula_abc_g_aig.yosys.log,OK,,
ex249,float_fp8,fp8-r26,ex249_r26_threshold_formula_synth_preset_aig,ex249|E5M2FN packed hypot|handwritten gap0 gap1 threshold predicates|shared abs max/min raw exponent sig thresholds and saturation guard|yosys_multi_official_evaluate|exact_e5m2fn_hypot_abs_high_low|formula_threshold_delta|synth_preset_aig,OK,1,167,36,6012,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex249/verilog/ex249_r26_threshold_formula_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex249/aigs/ex249_r26_threshold_formula_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex249/logs/ex249_r26_threshold_formula_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=0.751; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex249/logs/ex249_r26_threshold_formula_synth_preset_aig.yosys.log,OK,,
ex249,float_fp8,fp8-r26,ex249_r26_threshold_case_abc_g_aig,ex249|E5M2FN packed hypot|compact gap-threshold case table|shared max/min decode gap sig threshold table and saturation guard|yosys_multi_official_evaluate|exact_e5m2fn_hypot_abs_high_low|case_threshold_delta|abc_g_aig,OK,1,177,30,5310,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex249/verilog/ex249_r26_threshold_case_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex249/aigs/ex249_r26_threshold_case_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex249/logs/ex249_r26_threshold_case_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.624; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex249/logs/ex249_r26_threshold_case_abc_g_aig.yosys.log,OK,,
