case,domain,agent_id,hypothesis,method_signature,status,evidence_path,notes,representation,reason
ex242,float_fp8,fp8-b-r27,E4M3FN packed low-over-high division,"ex242|E4M3FN packed low-over-high division|output bitplane tables over exponent-delta/significand pair|shared sign, special-case shell, exponent-delta and sigpair decode with per-bit output functions|yosys_abc_g_aig_official_evaluate|exact_e4m3fn_div_low_over_high|delta_sig_bitplanes|fp8_b_r27",NON_EQUIV_OR_FAILED,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex242/logs/ex242_r27b_div_bitplane_delta_sig_abc_g_aig.evaluate.py.log,SYNTH_OR_EVAL_FAIL SynthError: Yosys failed with exit code 1,,NON_EQUIV_OR_FAILED
ex242,float_fp8,fp8-b-r27,E4M3FN packed low-over-high division,"ex242|E4M3FN packed low-over-high division|output bitplane tables over exponent-delta/significand pair|shared sign, special-case shell, exponent-delta and sigpair decode with per-bit output functions|yosys_synth_preset_aig_official_evaluate|exact_e4m3fn_div_low_over_high|delta_sig_bitplanes|fp8_b_r27",NON_EQUIV_OR_FAILED,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex242/logs/ex242_r27b_div_bitplane_delta_sig_synth_preset_aig.evaluate.py.log,SYNTH_OR_EVAL_FAIL SynthError: Yosys failed with exit code 1,,NON_EQUIV_OR_FAILED
ex242,float_fp8,fp8-b-r27,E4M3FN packed low-over-high division,"ex242|E4M3FN packed low-over-high division|denominator-significand cofactored quotient table|shared denominator sig cofactor, numerator sig and exponent-delta residual|yosys_abc_g_aig_official_evaluate|exact_e4m3fn_div_low_over_high|denominator_cofactored_residual|fp8_b_r27",NON_EQUIV_OR_FAILED,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex242/logs/ex242_r27b_div_den_cofactored_abc_g_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=abc_g_aig; runtime_sec=1.570; yosys_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex242/logs/ex242_r27b_div_den_cofactored_abc_g_aig.yosys.log; non-equivalent or evaluate failed,,NON_EQUIV_OR_FAILED
ex242,float_fp8,fp8-b-r27,E4M3FN packed low-over-high division,"ex242|E4M3FN packed low-over-high division|denominator-significand cofactored quotient table|shared denominator sig cofactor, numerator sig and exponent-delta residual|yosys_synth_preset_aig_official_evaluate|exact_e4m3fn_div_low_over_high|denominator_cofactored_residual|fp8_b_r27",NON_EQUIV_OR_FAILED,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex242/logs/ex242_r27b_div_den_cofactored_synth_preset_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig; runtime_sec=1.804; yosys_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex242/logs/ex242_r27b_div_den_cofactored_synth_preset_aig.yosys.log; non-equivalent or evaluate failed,,NON_EQUIV_OR_FAILED
ex245,float_fp8,fp8-b-r27,E5M2FN packed add,"ex245|E5M2FN packed add|active small-gap output bitplanes with passthrough guards|shared sorted operand decode, gap guard, same/diff active-region per-bit functions|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_add_high_plus_low|same_diff_active_bitplanes|fp8_b_r27",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex245/logs/ex245_r27b_add_active_gap_bitplanes_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=21.504; yosys_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex245/logs/ex245_r27b_add_active_gap_bitplanes_abc_g_aig.yosys.log,,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT
ex245,float_fp8,fp8-b-r27,E5M2FN packed add,"ex245|E5M2FN packed add|active small-gap output bitplanes with passthrough guards|shared sorted operand decode, gap guard, same/diff active-region per-bit functions|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_add_high_plus_low|same_diff_active_bitplanes|fp8_b_r27",NON_EQUIV_OR_FAILED,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex245/logs/ex245_r27b_add_active_gap_bitplanes_synth_preset_aig.evaluate.py.log,SYNTH_OR_EVAL_FAIL SynthError: command timed out after 60s: /home/b10507053/ALS_Final_Project/student/tools/conda-env/bin/yosys -s /home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex245/logs/ex245_r27b_add_active_,,NON_EQUIV_OR_FAILED
ex241,float_fp8,fp8-b-r27,E4M3FN packed multiply,"ex241|E4M3FN packed multiply|E4 output bitplane tables over exponent-sum/product|shared sign xor, E4 exponent sum and 4x4 product, per-bit cofactored output functions|yosys_abc_g_aig_official_evaluate|exact_e4m3fn_mul_high_times_low|e4_product_exp_bitplanes|fp8_b_r27",NON_EQUIV_OR_FAILED,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex241/logs/ex241_r27b_mul_e4_bitplane_product_exp_abc_g_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=abc_g_aig; runtime_sec=7.465; yosys_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex241/logs/ex241_r27b_mul_e4_bitplane_product_exp_abc_g_aig.yosys.log; non-equivalent or evaluate failed,,NON_EQUIV_OR_FAILED
ex241,float_fp8,fp8-b-r27,E4M3FN packed multiply,"ex241|E4M3FN packed multiply|E4 output bitplane tables over exponent-sum/product|shared sign xor, E4 exponent sum and 4x4 product, per-bit cofactored output functions|yosys_synth_preset_aig_official_evaluate|exact_e4m3fn_mul_high_times_low|e4_product_exp_bitplanes|fp8_b_r27",NON_EQUIV_OR_FAILED,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex241/logs/ex241_r27b_mul_e4_bitplane_product_exp_synth_preset_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig; runtime_sec=47.121; yosys_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex241/logs/ex241_r27b_mul_e4_bitplane_product_exp_synth_preset_aig.yosys.log; non-equivalent or evaluate failed,,NON_EQUIV_OR_FAILED
ex241,float_fp8,fp8-b-r27,E4M3FN packed multiply,ex241|E4M3FN packed multiply|E4 product-major table over exponent sum|shared 4x4 product decode with product-major exp-sum residual table|yosys_abc_g_aig_official_evaluate|exact_e4m3fn_mul_high_times_low|e4_product_major_exp_residual|fp8_b_r27,NON_EQUIV_OR_FAILED,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex241/logs/ex241_r27b_mul_e4_product_cofactored_abc_g_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=abc_g_aig; runtime_sec=1.884; yosys_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex241/logs/ex241_r27b_mul_e4_product_cofactored_abc_g_aig.yosys.log; non-equivalent or evaluate failed,,NON_EQUIV_OR_FAILED
ex241,float_fp8,fp8-b-r27,E4M3FN packed multiply,ex241|E4M3FN packed multiply|E4 product-major table over exponent sum|shared 4x4 product decode with product-major exp-sum residual table|yosys_synth_preset_aig_official_evaluate|exact_e4m3fn_mul_high_times_low|e4_product_major_exp_residual|fp8_b_r27,NON_EQUIV_OR_FAILED,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex241/logs/ex241_r27b_mul_e4_product_cofactored_synth_preset_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig; runtime_sec=2.291; yosys_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex241/logs/ex241_r27b_mul_e4_product_cofactored_synth_preset_aig.yosys.log; non-equivalent or evaluate failed,,NON_EQUIV_OR_FAILED
ex242,float_fp8,fp8-b-r27,E4M3FN packed low-over-high division,"ex242|E4M3FN packed low-over-high division|E4 output bitplane tables over exponent-delta/significand pair|shared sign, special-case shell, E4 exponent-delta and sigpair decode with per-bit output functions|yosys_abc_g_aig_official_evaluate|exact_e4m3fn_div_low_over_high|e4_delta_sig_bitplanes|fp8_b_r27",NON_EQUIV_OR_FAILED,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex242/logs/ex242_r27b_div_e4_bitplane_delta_sig_abc_g_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=abc_g_aig; runtime_sec=6.899; yosys_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex242/logs/ex242_r27b_div_e4_bitplane_delta_sig_abc_g_aig.yosys.log; non-equivalent or evaluate failed,,NON_EQUIV_OR_FAILED
ex242,float_fp8,fp8-b-r27,E4M3FN packed low-over-high division,"ex242|E4M3FN packed low-over-high division|E4 output bitplane tables over exponent-delta/significand pair|shared sign, special-case shell, E4 exponent-delta and sigpair decode with per-bit output functions|yosys_synth_preset_aig_official_evaluate|exact_e4m3fn_div_low_over_high|e4_delta_sig_bitplanes|fp8_b_r27",NON_EQUIV_OR_FAILED,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex242/logs/ex242_r27b_div_e4_bitplane_delta_sig_synth_preset_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig; runtime_sec=48.137; yosys_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex242/logs/ex242_r27b_div_e4_bitplane_delta_sig_synth_preset_aig.yosys.log; non-equivalent or evaluate failed,,NON_EQUIV_OR_FAILED
ex242,float_fp8,fp8-b-r27,E4M3FN packed low-over-high division,"ex242|E4M3FN packed low-over-high division|E4 denominator-significand cofactored quotient table|shared denominator sig cofactor, numerator sig and exponent-delta residual|yosys_abc_g_aig_official_evaluate|exact_e4m3fn_div_low_over_high|e4_denominator_cofactored_residual|fp8_b_r27",NON_EQUIV_OR_FAILED,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex242/logs/ex242_r27b_div_e4_den_cofactored_abc_g_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=abc_g_aig; runtime_sec=2.445; yosys_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex242/logs/ex242_r27b_div_e4_den_cofactored_abc_g_aig.yosys.log; non-equivalent or evaluate failed,,NON_EQUIV_OR_FAILED
ex242,float_fp8,fp8-b-r27,E4M3FN packed low-over-high division,"ex242|E4M3FN packed low-over-high division|E4 denominator-significand cofactored quotient table|shared denominator sig cofactor, numerator sig and exponent-delta residual|yosys_synth_preset_aig_official_evaluate|exact_e4m3fn_div_low_over_high|e4_denominator_cofactored_residual|fp8_b_r27",NON_EQUIV_OR_FAILED,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex242/logs/ex242_r27b_div_e4_den_cofactored_synth_preset_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig; runtime_sec=2.674; yosys_log=student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex242/logs/ex242_r27b_div_e4_den_cofactored_synth_preset_aig.yosys.log; non-equivalent or evaluate failed,,NON_EQUIV_OR_FAILED
ex265,integer,mixed-uncovered-r27,unsigned_4x4_division_direct_arithmetic,ex265|unsigned_4x4_division_direct_arithmetic|direct_or_denominator_split_arithmetic_guarded_divider|shared dbz guard and divisor/direct arithmetic operator logic|abc_g_aig|unsigned_low4_high4_div_dbz_sat|max4_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex265/logs/ex265_udiv_direct_guarded_abc_g_aig.evaluate.py.log,do not repeat as-is; only revisit with materially smaller selector or synthesis flow,direct_or_denominator_split_arithmetic_guarded_divider,official equivalent but does not beat current frontend best 504
ex265,integer,mixed-uncovered-r27,unsigned_4x4_division_direct_arithmetic,ex265|unsigned_4x4_division_direct_arithmetic|direct_or_denominator_split_arithmetic_guarded_divider|shared dbz guard and divisor/direct arithmetic operator logic|synth_preset|unsigned_low4_high4_div_dbz_sat|max4_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex265/logs/ex265_udiv_direct_guarded_synth_preset.evaluate.py.log,do not repeat as-is; only revisit with materially smaller selector or synthesis flow,direct_or_denominator_split_arithmetic_guarded_divider,official equivalent but does not beat current frontend best 504
ex265,integer,mixed-uncovered-r27,unsigned_4x4_division_direct_arithmetic,ex265|unsigned_4x4_division_direct_arithmetic|direct_or_denominator_split_arithmetic_guarded_divider|shared dbz guard and divisor/direct arithmetic operator logic|abc_g_aig|unsigned_low4_high4_div_dbz_sat|max4_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex265/logs/ex265_udiv_denom_split_direct_abc_g_aig.evaluate.py.log,do not repeat as-is; only revisit with materially smaller selector or synthesis flow,direct_or_denominator_split_arithmetic_guarded_divider,official equivalent but does not beat current frontend best 504
ex265,integer,mixed-uncovered-r27,unsigned_4x4_division_direct_arithmetic,ex265|unsigned_4x4_division_direct_arithmetic|direct_or_denominator_split_arithmetic_guarded_divider|shared dbz guard and divisor/direct arithmetic operator logic|synth_preset|unsigned_low4_high4_div_dbz_sat|max4_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex265/logs/ex265_udiv_denom_split_direct_synth_preset.evaluate.py.log,do not repeat as-is; only revisit with materially smaller selector or synthesis flow,direct_or_denominator_split_arithmetic_guarded_divider,official equivalent but does not beat current frontend best 504
ex265,integer,mixed-uncovered-r27,unsigned_4x4_division_direct_arithmetic,ex265|unsigned_4x4_division_direct_arithmetic|direct_or_denominator_split_arithmetic_guarded_divider|shared dbz guard and divisor/direct arithmetic operator logic|abc_g_aig|unsigned_low4_high4_div_dbz_sat|max4_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex265/logs/ex265_udiv_small_divisor_fast_direct_abc_g_aig.evaluate.py.log,do not repeat as-is; only revisit with materially smaller selector or synthesis flow,direct_or_denominator_split_arithmetic_guarded_divider,official equivalent but does not beat current frontend best 504
ex265,integer,mixed-uncovered-r27,unsigned_4x4_division_direct_arithmetic,ex265|unsigned_4x4_division_direct_arithmetic|direct_or_denominator_split_arithmetic_guarded_divider|shared dbz guard and divisor/direct arithmetic operator logic|synth_preset|unsigned_low4_high4_div_dbz_sat|max4_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex265/logs/ex265_udiv_small_divisor_fast_direct_synth_preset.evaluate.py.log,do not repeat as-is; only revisit with materially smaller selector or synthesis flow,direct_or_denominator_split_arithmetic_guarded_divider,official equivalent but does not beat current frontend best 504
ex265,integer,mixed-uncovered-r27,unsigned_4x4_division_cofactored_quotient_classifier,ex265|unsigned_4x4_division_cofactored_quotient_classifier|cofactor bit-BDD local quotient words plus shared word mux|shared divisor-high and dividend-MSB selector with local quotient BDDs|abc_g_aig|unsigned_low4_high4_div_dbz_sat|max4_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex265/logs/ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_abc_g_aig.evaluate.py.log,do not repeat as-is; only revisit with materially smaller selector or synthesis flow,cofactor bit-BDD local quotient words plus shared word mux,official equivalent but does not beat current frontend best 504
ex265,integer,mixed-uncovered-r27,unsigned_4x4_division_cofactored_quotient_classifier,ex265|unsigned_4x4_division_cofactored_quotient_classifier|cofactor bit-BDD local quotient words plus shared word mux|shared divisor-high and dividend-MSB selector with local quotient BDDs|synth_preset|unsigned_low4_high4_div_dbz_sat|max4_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex265/logs/ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset.evaluate.py.log,do not repeat as-is; only revisit with materially smaller selector or synthesis flow,cofactor bit-BDD local quotient words plus shared word mux,official equivalent but does not beat current frontend best 504
ex270,integer,mixed-uncovered-r27,unsigned_8_square_block_decomposition,ex270|unsigned_8_square_block_decomposition|block4 square decomposition with carry-select merge|shared low/high block squares and cross block correction rows|abc_g_aig|unsigned_8_square|full_square_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex270/logs/ex270_square_block4_decomp_csel4_abc_g_aig.evaluate.py.log,avoid this structure as-is; seek lighter final-carry or new partial-product sharing,block4 square decomposition with carry-select merge,official equivalent but does not beat current frontend best 3230
ex270,integer,mixed-uncovered-r27,unsigned_8_square_block_decomposition,ex270|unsigned_8_square_block_decomposition|block4 square decomposition with carry-select merge|shared low/high block squares and cross block correction rows|synth_preset|unsigned_8_square|full_square_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex270/logs/ex270_square_block4_decomp_csel4_synth_preset.evaluate.py.log,avoid this structure as-is; seek lighter final-carry or new partial-product sharing,block4 square decomposition with carry-select merge,official equivalent but does not beat current frontend best 3230
ex270,integer,mixed-uncovered-r27,unsigned_8_square_column_count_descriptor,ex270|unsigned_8_square_column_count_descriptor|column-count tight case descriptor|shared popcount-like square column descriptors|abc_g_aig|unsigned_8_square|full_square_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex270/logs/ex270_square_column_count_case_tight_abc_g_aig.evaluate.py.log,avoid this structure as-is; seek lighter final-carry or new partial-product sharing,column-count tight case descriptor,official equivalent but does not beat current frontend best 3230
ex270,integer,mixed-uncovered-r27,unsigned_8_square_column_count_descriptor,ex270|unsigned_8_square_column_count_descriptor|column-count tight case descriptor|shared popcount-like square column descriptors|synth_preset|unsigned_8_square|full_square_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex270/logs/ex270_square_column_count_case_tight_synth_preset.evaluate.py.log,avoid this structure as-is; seek lighter final-carry or new partial-product sharing,column-count tight case descriptor,official equivalent but does not beat current frontend best 3230
ex270,integer,mixed-uncovered-r27,unsigned_8_square_booth_radix4_probe,ex270|unsigned_8_square_booth_radix4_probe|Booth radix-4 CSA square encoding|shared radix-4 partial products and CSA rows|abc_g_aig|unsigned_8_square|full_square_word,NOT_EQUIV,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex270/logs/ex270_square_booth_radix4_csa_csel4_abc_g_aig.evaluate.py.log,avoid this structure as-is; seek lighter final-carry or new partial-product sharing,Booth radix-4 CSA square encoding,official non-equivalent
ex270,integer,mixed-uncovered-r27,unsigned_8_square_booth_radix4_probe,ex270|unsigned_8_square_booth_radix4_probe|Booth radix-4 CSA square encoding|shared radix-4 partial products and CSA rows|synth_preset|unsigned_8_square|full_square_word,NOT_EQUIV,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex270/logs/ex270_square_booth_radix4_csa_csel4_synth_preset.evaluate.py.log,avoid this structure as-is; seek lighter final-carry or new partial-product sharing,Booth radix-4 CSA square encoding,official non-equivalent
ex270,integer,mixed-uncovered-r27,unsigned_8_square_final_carry_neighbor,ex270|unsigned_8_square_final_carry_neighbor|triangular Wallace square with csel3 final merge|shared square cross terms and Wallace columns with smaller carry-select boundary|abc_g_aig|unsigned_8_square|full_square_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex270/logs/ex270_square_wallace_square_outside_csel3_abc_g_aig.evaluate.py.log,avoid this structure as-is; seek lighter final-carry or new partial-product sharing,triangular Wallace square with csel3 final merge,official equivalent but does not beat current frontend best 3230
ex270,integer,mixed-uncovered-r27,unsigned_8_square_final_carry_neighbor,ex270|unsigned_8_square_final_carry_neighbor|triangular Wallace square with csel3 final merge|shared square cross terms and Wallace columns with smaller carry-select boundary|synth_preset|unsigned_8_square|full_square_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex270/logs/ex270_square_wallace_square_outside_csel3_synth_preset.evaluate.py.log,avoid this structure as-is; seek lighter final-carry or new partial-product sharing,triangular Wallace square with csel3 final merge,official equivalent but does not beat current frontend best 3230
ex267,integer,mixed-uncovered-r27,unsigned_6x6_division_cofactored_quotient_classifier,ex267|unsigned_6x6_division_cofactored_quotient_classifier|cofactor bit-BDD local quotient words plus shared word mux|shared divisor-high and dividend-high selector with local quotient BDDs|abc_g_aig|unsigned_low6_high6_div_dbz_sat|max6_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex267/logs/ex267_udiv_cof_bhi2_ahi2_bitbdd_wordmux_abc_g_aig.evaluate.py.log,avoid this selector/correction as-is; seek hybrid top-bit selector smaller than current top2/deep structure,cofactor bit-BDD local quotient words plus shared word mux,official equivalent but does not beat current frontend best 4080
ex267,integer,mixed-uncovered-r27,unsigned_6x6_division_cofactored_quotient_classifier,ex267|unsigned_6x6_division_cofactored_quotient_classifier|cofactor bit-BDD local quotient words plus shared word mux|shared divisor-high and dividend-high selector with local quotient BDDs|synth_preset|unsigned_low6_high6_div_dbz_sat|max6_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex267/logs/ex267_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset.evaluate.py.log,avoid this selector/correction as-is; seek hybrid top-bit selector smaller than current top2/deep structure,cofactor bit-BDD local quotient words plus shared word mux,official equivalent but does not beat current frontend best 4080
ex267,integer,mixed-uncovered-r27,unsigned_6x6_division_complemented_cofactor_wordmux,ex267|unsigned_6x6_division_complemented_cofactor_wordmux|fixed selector complemented local quotient word mux|shared selector plus complemented local quotient BDDs|abc_g_aig|unsigned_low6_high6_div_dbz_sat|max6_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex267/logs/ex267_udiv_ex266_cof_bhi2_a43_comp_wordmux_abc_g_aig.evaluate.py.log,avoid this selector/correction as-is; seek hybrid top-bit selector smaller than current top2/deep structure,fixed selector complemented local quotient word mux,official equivalent but does not beat current frontend best 4080
ex267,integer,mixed-uncovered-r27,unsigned_6x6_division_complemented_cofactor_wordmux,ex267|unsigned_6x6_division_complemented_cofactor_wordmux|fixed selector complemented local quotient word mux|shared selector plus complemented local quotient BDDs|synth_preset|unsigned_low6_high6_div_dbz_sat|max6_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex267/logs/ex267_udiv_ex266_cof_bhi2_a43_comp_wordmux_synth_preset.evaluate.py.log,avoid this selector/correction as-is; seek hybrid top-bit selector smaller than current top2/deep structure,fixed selector complemented local quotient word mux,official equivalent but does not beat current frontend best 4080
ex267,integer,mixed-uncovered-r27,unsigned_6x6_division_tree_cofactor_wordmux,ex267|unsigned_6x6_division_tree_cofactor_wordmux|fixed selector tree local quotient word mux|shared selector plus tree local quotient BDDs|abc_g_aig|unsigned_low6_high6_div_dbz_sat|max6_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex267/logs/ex267_udiv_ex266_cof_bhi2_a43_tree_wordmux_abc_g_aig.evaluate.py.log,avoid this selector/correction as-is; seek hybrid top-bit selector smaller than current top2/deep structure,fixed selector tree local quotient word mux,official equivalent but does not beat current frontend best 4080
ex267,integer,mixed-uncovered-r27,unsigned_6x6_division_tree_cofactor_wordmux,ex267|unsigned_6x6_division_tree_cofactor_wordmux|fixed selector tree local quotient word mux|shared selector plus tree local quotient BDDs|synth_preset|unsigned_low6_high6_div_dbz_sat|max6_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex267/logs/ex267_udiv_ex266_cof_bhi2_a43_tree_wordmux_synth_preset.evaluate.py.log,avoid this selector/correction as-is; seek hybrid top-bit selector smaller than current top2/deep structure,fixed selector tree local quotient word mux,official equivalent but does not beat current frontend best 4080
ex267,integer,mixed-uncovered-r27,unsigned_6x6_division_reciprocal_correction,ex267|unsigned_6x6_division_reciprocal_correction|reciprocal floor quotient correction|shared reciprocal estimate and correction compare predicates|abc_g_aig|unsigned_low6_high6_div_dbz_sat|max6_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex267/logs/ex267_udiv_recip_floor_sn_abc_g_aig.evaluate.py.log,avoid this selector/correction as-is; seek hybrid top-bit selector smaller than current top2/deep structure,reciprocal floor quotient correction,official equivalent but does not beat current frontend best 4080
ex267,integer,mixed-uncovered-r27,unsigned_6x6_division_reciprocal_correction,ex267|unsigned_6x6_division_reciprocal_correction|reciprocal floor quotient correction|shared reciprocal estimate and correction compare predicates|synth_preset|unsigned_low6_high6_div_dbz_sat|max6_word,OK,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex267/logs/ex267_udiv_recip_floor_sn_synth_preset.evaluate.py.log,avoid this selector/correction as-is; seek hybrid top-bit selector smaller than current top2/deep structure,reciprocal floor quotient correction,official equivalent but does not beat current frontend best 4080
ex297,unknown,coordinator-unknown-large-r27-blocker,round27 large unknown worker startup,ex297|round27_large_unknown_worker_startup_blocker,worker_startup_blocked,prompt_log.md,unknown-large-r27 and unknown-large-r27b were shut down after failing to create durable shard files,,no_durable_output_after_checkpoints
ex299,unknown,coordinator-unknown-large-r27-blocker,round27 large unknown worker startup,ex299|round27_large_unknown_worker_startup_blocker,worker_startup_blocked,prompt_log.md,unknown-large-r27 and unknown-large-r27b were shut down after failing to create durable shard files,,no_durable_output_after_checkpoints
ex294,unknown,coordinator-unknown-large-r27-blocker,round27 large unknown worker startup,ex294|round27_large_unknown_worker_startup_blocker,worker_startup_blocked,prompt_log.md,unknown-large-r27 and unknown-large-r27b were shut down after failing to create durable shard files,,no_durable_output_after_checkpoints
ex295,unknown,coordinator-unknown-large-r27-blocker,round27 large unknown worker startup,ex295|round27_large_unknown_worker_startup_blocker,worker_startup_blocked,prompt_log.md,unknown-large-r27 and unknown-large-r27b were shut down after failing to create durable shard files,,no_durable_output_after_checkpoints
ex292,unknown,coordinator-unknown-large-r27-blocker,round27 large unknown worker startup,ex292|round27_large_unknown_worker_startup_blocker,worker_startup_blocked,prompt_log.md,unknown-large-r27 and unknown-large-r27b were shut down after failing to create durable shard files,,no_durable_output_after_checkpoints
