case,domain,hypothesis,method_signature,status,reason,artifact_path,log_path,agent_id,run_id,notes
ex288,unknown,hamming_weight_preserving_lossy_routing_normalizer,ex288|hamming_weight_preserving_lossy_routing_normalizer|compact_pair_state_and_lane_count_descriptor_screen|shared_pair_descriptors_and_lane_count_state|no_synth|blocked_before_verilog|full_word,BLOCKED_NO_CANDIDATE,"Round22 screened two families: compact pair-state controlled routing and lane/count normalizer descriptors. Popcount preservation is exact (0 mismatches), but the pair-state descriptor is exact only at 13824 unique keys, which is table-scale for this shard, and the compact lane/count descriptor reaches only 3092/32768 majority rows. No Verilog is defensible without falling back to a table/cofactor repeat.",/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-a-r22/ex288/diagnostics/ex288_round22_screen.md,/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-a-r22/ex288/diagnostics/ex288_round22_screen.md,unknown-a-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"Round22 screened two families: compact pair-state controlled routing and lane/count normalizer descriptors. Popcount preservation is exact (0 mismatches), but the pair-state descriptor is exact only at 13824 unique keys, which is table-scale for this shard, and the compact lane/count descriptor reaches only 3092/32768 majority rows. No Verilog is defensible without falling back to a table/cofactor repeat."
ex289,unknown,hamming_weight_preserving_lossy_routing_normalizer,ex289|hamming_weight_preserving_lossy_routing_normalizer|compact_pair_state_and_lane_count_descriptor_screen|shared_pair_descriptors_and_lane_count_state|no_synth|blocked_before_verilog|full_word,BLOCKED_NO_CANDIDATE,"Round22 screened two families: compact pair-state controlled routing and lane/count normalizer descriptors. Popcount preservation is exact (0 mismatches), but the pair-state descriptor is exact only at 20736 unique keys, which is table-scale for this shard, and the compact lane/count descriptor reaches only 5358/65536 majority rows. No Verilog is defensible without falling back to a table/cofactor repeat.",/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-a-r22/ex289/diagnostics/ex289_round22_screen.md,/home/b10507053/ALS_Final_Project/student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-a-r22/ex289/diagnostics/ex289_round22_screen.md,unknown-a-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"Round22 screened two families: compact pair-state controlled routing and lane/count normalizer descriptors. Popcount preservation is exact (0 mismatches), but the pair-state descriptor is exact only at 20736 unique keys, which is table-scale for this shard, and the compact lane/count descriptor reaches only 5358/65536 majority rows. No Verilog is defensible without falling back to a table/cofactor repeat."
ex290,unknown,global state/permutation transform with sparse cyclic I+R^-2 correction,ex290|global_state_permutation_descriptor_screen|cyclic_histogram_stride2_delta_and_ir2_residual|shared_state_features|no_synth|abc_xf_truth_diagnostic|bit_outputs,BLOCKED_NO_CANDIDATE,no compact exact descriptor and no sparse rotate/xor residual; exact full-key descriptors are prior no-improvement rows,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-b-r22/ex290/notes/ex290_round22_blocker_diagnostic.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-b-r22/ex290/notes/ex290_round22_blocker_diagnostic.md,unknown-b-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"families screened: cyclic histograms, stride-2 deltas, local radius2+global, rotate/xor residual bases"
ex291,unknown,global state/permutation transform with sparse cyclic I+R^-2 correction,ex291|global_state_permutation_descriptor_screen|cyclic_histogram_stride2_delta_and_ir2_residual|shared_state_features|no_synth|abc_xf_truth_diagnostic|bit_outputs,BLOCKED_NO_CANDIDATE,no compact exact descriptor and no sparse rotate/xor residual; exact full-key descriptors are prior no-improvement rows,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-b-r22/ex291/notes/ex291_round22_blocker_diagnostic.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-b-r22/ex291/notes/ex291_round22_blocker_diagnostic.md,unknown-b-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"families screened: cyclic histograms, stride-2 deltas, local radius2+global, rotate/xor residual bases"
ex292,unknown,global state/permutation transform with sparse cyclic I+R^-2 correction,ex292|global_state_permutation_descriptor_screen|cyclic_histogram_stride2_delta_and_ir2_residual|shared_state_features|no_synth|abc_xf_truth_diagnostic|bit_outputs,BLOCKED_NO_CANDIDATE,no compact exact descriptor and no sparse rotate/xor residual; exact full-key descriptors are prior no-improvement rows,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-b-r22/ex292/notes/ex292_round22_blocker_diagnostic.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-b-r22/ex292/notes/ex292_round22_blocker_diagnostic.md,unknown-b-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"families screened: cyclic histograms, stride-2 deltas, local radius2+global, rotate/xor residual bases"
ex294,unknown,global state/permutation transform with sparse cyclic I+R^-2 correction,ex294|global_state_permutation_descriptor_screen|cyclic_histogram_stride2_delta_and_ir2_residual|shared_state_features|no_synth|abc_xf_truth_diagnostic|bit_outputs,BLOCKED_NO_CANDIDATE,no compact exact descriptor and no sparse rotate/xor residual; exact full-key descriptors are prior no-improvement rows,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-b-r22/ex294/notes/ex294_round22_blocker_diagnostic.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-b-r22/ex294/notes/ex294_round22_blocker_diagnostic.md,unknown-b-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"families screened: cyclic histograms, stride-2 deltas, local radius2+global, rotate/xor residual bases"
ex295,unknown,global state/permutation transform and cyclic 2-bit descriptor recurrence,ex295|global_state_and_cyclic_descriptor_screen|transition_autocorr_radius_context|shared_nonlocal_cell_descriptor_terms|no_synth|abc_xf_truth_diagnostic|2bit_cell_outputs,BLOCKED_NO_CANDIDATE,no compact exact basis beyond prior symbol-plane/full-context forms,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-b-r22/ex295/notes/ex295_round22_blocker_diagnostic.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-b-r22/ex295/notes/ex295_round22_blocker_diagnostic.md,unknown-b-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"families screened: symbol/global histogram, transition/autocorr, radius1/radius2 contexts"
ex296,unknown,open-boundary state transform with sparse stride-2 correction,ex296|open_boundary_state_descriptor_screen|open_stride2_delta_and_shift_residual|shared_state_features|no_synth|abc_xf_truth_diagnostic|bit_outputs,BLOCKED_NO_CANDIDATE,no compact exact descriptor and no sparse open shift/xor residual,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-b-r22/ex296/notes/ex296_round22_blocker_diagnostic.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-b-r22/ex296/notes/ex296_round22_blocker_diagnostic.md,unknown-b-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"families screened: open global counts/transitions, stride2 deltas, radius2 context, shift/xor residual bases"
ex297,unknown,global state/permutation transform and cyclic 2-bit descriptor recurrence,ex297|global_state_and_cyclic_descriptor_screen|symbol_histogram_transition_autocorr_radius2_context|shared_nonlocal_cell_descriptor_terms|no_synth|abc_xf_truth_diagnostic|2bit_cell_outputs,BLOCKED_NO_CANDIDATE,no compact conflict-free shared descriptor basis; exact alternatives collapse to prior table/BDD forms,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-b-r22/ex297/notes/ex297_round22_blocker_diagnostic.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-b-r22/ex297/notes/ex297_round22_blocker_diagnostic.md,unknown-b-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"families screened: symbol/global histogram, transition/autocorr, radius2+global context"
ex298,unknown,open-boundary state transform with sparse stride-2 correction,ex298|open_boundary_state_descriptor_screen|open_stride2_delta_and_shift_residual|shared_state_features|no_synth|abc_xf_truth_diagnostic|bit_outputs,BLOCKED_NO_CANDIDATE,no compact exact descriptor and no sparse open shift/xor residual,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-b-r22/ex298/notes/ex298_round22_blocker_diagnostic.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-b-r22/ex298/notes/ex298_round22_blocker_diagnostic.md,unknown-b-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"families screened: open global counts/transitions, stride2 deltas, radius2 context, shift/xor residual bases"
ex299,unknown,global state/permutation transform and cyclic 2-bit descriptor recurrence,ex299|global_state_and_cyclic_descriptor_screen|transition_autocorr_radius_context|shared_nonlocal_cell_descriptor_terms|no_synth|abc_xf_truth_diagnostic|2bit_cell_outputs,BLOCKED_NO_CANDIDATE,no compact conflict-free shared descriptor basis; exact forms collapse to prior blockers,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-b-r22/ex299/notes/ex299_round22_blocker_diagnostic.md,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218/unknown-b-r22/ex299/notes/ex299_round22_blocker_diagnostic.md,unknown-b-r22,ex200_ex299_frontend_refgap_round22_20260613_0218,"families screened: symbol/global histogram, transition/autocorr, radius2/radius3 contexts"
