case,candidate_id,high_level_description,shared_structures,output_grouping,estimated_reuse,observed_qor,method_signature,agent_id,notes,family,shared_structure,outcome,shard_csv,domain,hypothesis,representation,prior_low_value_signatures_avoided,status,evidence_path,high_level_decision,shared_state,normalization_or_action,output_decode,avoids_prior_signature,shared_terms,independent_adp,shared_adp,delta_adp,area_delta,delay_delta
ex297,ex297_r75_pairsel_celllocal_highcells,14-bit cyclic 2-bit-symbol selector/cell descriptor with exact even-rotation equivariance and full-ring dependence. r66/r71/r73 showed useful bounded selector/cell branches but table-sized recurrences remain rejected.,cell-local inversion source covers cells 4..6 while pairsel template covers the rest,static_celllocal_high_cells,bounded static per-output cone reuse from official exact source families,26630/16/426080,ex297|cyclic_2bit_static_bitcone_graft|static high-cell output cones from cell-local source over pairsel current best|cell-local inversion source covers cells 4..6 while pairsel template covers the rest|yosys_internal_abc_g_aig|official_evaluate|static_celllocal_high_cells,sub-unknown-large-redesc-r75,"Decision: keep cyclic selector/cell description, reject new table descriptor, test static source-equation graft; r75 bit_source=0:pairsel,1:pairsel,2:pairsel,3:pairsel,4:pairsel,5:pairsel,6:pairsel,7:pairsel,8:celllocal,9:celllocal,10:celllocal,11:celllocal,12:celllocal,13:celllocal; synth_sec=44.416; eval_sec=0.776",cyclic_2bit_selector_cell_static_graft,cell-local inversion source covers cells 4..6 while pairsel template covers the rest,equivalent,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-large-redesc-r75/shared_structure_report.csv,,,,,,,,,,,,"pairsel,celllocal",425024,426080,1056,26630,16
ex297,ex297_r75_pairsel_r71_selector_plane,14-bit cyclic 2-bit-symbol selector/cell descriptor with exact even-rotation equivariance and full-ring dependence. r66/r71/r73 showed useful bounded selector/cell branches but table-sized recurrences remain rejected.,r71 source drives even selector-plane outputs; pairsel drives odd inner-plane outputs,static_r71_selector_plane,bounded static per-output cone reuse from official exact source families,26590/16/425440,ex297|cyclic_2bit_static_bitcone_graft|static selector-plane cones from r71 sel0-identity source over pairsel current best|r71 source drives even selector-plane outputs; pairsel drives odd inner-plane outputs|yosys_internal_abc_g_aig|official_evaluate|static_r71_selector_plane,sub-unknown-large-redesc-r75,"Decision: keep cyclic selector/cell description, reject new table descriptor, test static source-equation graft; r75 bit_source=0:r71,1:pairsel,2:r71,3:pairsel,4:r71,5:pairsel,6:r71,7:pairsel,8:r71,9:pairsel,10:r71,11:pairsel,12:r71,13:pairsel; synth_sec=44.753; eval_sec=0.782",cyclic_2bit_selector_cell_static_graft,r71 source drives even selector-plane outputs; pairsel drives odd inner-plane outputs,equivalent,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-large-redesc-r75/shared_structure_report.csv,,,,,,,,,,,,"pairsel,r71",425024,425440,416,26590,16
ex299,ex299_r75_sel2_celllocal_cluster_static,16-bit cyclic 2-bit-symbol selector/cell descriptor with exact even-rotation equivariance and full-ring dependence. r66/r71/r73 showed sel2 cluster replacement as the best bounded source; descriptor/default tables remain too large.,sel2 cluster source provides most outputs; only bits 8/9 use cell-local cones,static_celllocal_cluster_bits,bounded static per-output cone reuse from official exact source families,98747/18/1777446,ex299|cyclic_2bit_static_bitcone_graft|static selected output bits from cell-local source over sel2-cluster current best|sel2 cluster source provides most outputs; only bits 8/9 use cell-local cones|yosys_internal_abc_g_aig|official_evaluate|static_celllocal_cluster_bits,sub-unknown-large-redesc-r75,"Decision: keep cyclic selector/cell description, reject new table descriptor, test static source-equation graft; r75 bit_source=0:sel2,1:sel2,2:sel2,3:sel2,4:sel2,5:sel2,6:sel2,7:sel2,8:celllocal,9:celllocal,10:sel2,11:sel2,12:sel2,13:sel2,14:sel2,15:sel2; synth_sec=150.998; eval_sec=5.024",cyclic_2bit_selector_cell_static_graft,sel2 cluster source provides most outputs; only bits 8/9 use cell-local cones,equivalent,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-large-redesc-r75/shared_structure_report.csv,,,,,,,,,,,,"sel2,celllocal",1777806,1777446,-360,98747,18
ex299,ex299_r75_sel2_pairsel_cluster_static,16-bit cyclic 2-bit-symbol selector/cell descriptor with exact even-rotation equivariance and full-ring dependence. r66/r71/r73 showed sel2 cluster replacement as the best bounded source; descriptor/default tables remain too large.,sel2 cluster source provides most outputs; only bits 8/9 use pairsel cones,static_pairsel_cluster_bits,bounded static per-output cone reuse from official exact source families,98735/18/1777230,ex299|cyclic_2bit_static_bitcone_graft|static selected output bits from pairsel source over sel2-cluster current best|sel2 cluster source provides most outputs; only bits 8/9 use pairsel cones|yosys_internal_abc_g_aig|official_evaluate|static_pairsel_cluster_bits,sub-unknown-large-redesc-r75,"Decision: keep cyclic selector/cell description, reject new table descriptor, test static source-equation graft; r75 bit_source=0:sel2,1:sel2,2:sel2,3:sel2,4:sel2,5:sel2,6:sel2,7:sel2,8:pairsel,9:pairsel,10:sel2,11:sel2,12:sel2,13:sel2,14:sel2,15:sel2; synth_sec=185.893; eval_sec=5.122",cyclic_2bit_selector_cell_static_graft,sel2 cluster source provides most outputs; only bits 8/9 use pairsel cones,equivalent,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-large-redesc-r75/shared_structure_report.csv,,,,,,,,,,,,"sel2,pairsel",1777806,1777230,-576,98735,18
ex299,ex299_r75_sel2_celllocal_lowhalf,16-bit cyclic 2-bit-symbol selector/cell descriptor with exact even-rotation equivariance and full-ring dependence. r66/r71/r73 showed sel2 cluster replacement as the best bounded source; descriptor/default tables remain too large.,cell-local inversion source drives low half; sel2 cluster source drives high half,static_celllocal_low_half,bounded static per-output cone reuse from official exact source families,98765/18/1777770,ex299|cyclic_2bit_static_bitcone_graft|static low-half output cones from cell-local source over sel2-cluster current best|cell-local inversion source drives low half; sel2 cluster source drives high half|yosys_internal_abc_g_aig|official_evaluate|static_celllocal_low_half,sub-unknown-large-redesc-r75,"Decision: keep cyclic selector/cell description, reject new table descriptor, test static source-equation graft; r75 bit_source=0:celllocal,1:celllocal,2:celllocal,3:celllocal,4:celllocal,5:celllocal,6:celllocal,7:celllocal,8:sel2,9:sel2,10:sel2,11:sel2,12:sel2,13:sel2,14:sel2,15:sel2; synth_sec=155.297; eval_sec=5.131",cyclic_2bit_selector_cell_static_graft,cell-local inversion source drives low half; sel2 cluster source drives high half,equivalent,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-large-redesc-r75/shared_structure_report.csv,,,,,,,,,,,,"sel2,celllocal",1777806,1777770,-36,98765,18
ex285,ex285_r75_paircanon_decision_tree,12-bit Hamming-weight-preserving lossy routing/normalizer with exact input-pair symmetries; current decision-tree source remains smaller than table/BDD residuals.,canonicalize exact input pairs 4/5 and 6/7 before current decision-tree source,full_word,medium,810/18/14580,ex285|hamming_weight_preserving_lossy_routing_normalizer|paircanon_p45_p67_decision_tree_wrapper|canonical_pair_input_constraint_on_current_tree|yosys_default_abc_g_AND_then_aigmap|official_evaluate|full_word,sub-unknown-small-redesc-r75,"official evaluate.py OK; pair-canonical source constraint lowered area versus default replay but raised delay, so ADP is nonwinning.",paircanon_p45_p67_decision_tree_wrapper,canonicalize exact input pairs 4/5 and 6/7 before current decision-tree source,equivalent_nonwinning,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-small-redesc-r75/shared_structure_report.csv,unknown,hamming_weight_preserving_lossy_routing_normalizer,paircanon_p45_p67_decision_tree_wrapper,"bucket/key table, selected residual cover, low-weight overlays, raw BDD/cofactor repeats",tested_nonwinning,student/work/frontend_source_parallel_round75_20260613_1450/sub-unknown-small-redesc-r75/ex285/logs/ex285_r75_paircanon_decision_tree.evaluate.py.log,,,,,,,,,,,
ex285,ex285_r75_paircanon_p45_decision_tree,12-bit Hamming-weight-preserving lossy routing/normalizer with exact input-pair symmetries; current decision-tree source remains smaller than table/BDD residuals.,canonicalize exact input pair 4/5 before current decision-tree source,full_word,medium,810/18/14580,ex285|hamming_weight_preserving_lossy_routing_normalizer|paircanon_p45_decision_tree_wrapper|canonical_pair_input_constraint_on_current_tree|yosys_default_abc_g_AND_then_aigmap|official_evaluate|full_word,sub-unknown-small-redesc-r75,official evaluate.py OK; single-pair canonical source still raised delay and did not improve ADP.,paircanon_p45_decision_tree_wrapper,canonicalize exact input pair 4/5 before current decision-tree source,equivalent_nonwinning,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-small-redesc-r75/shared_structure_report.csv,unknown,hamming_weight_preserving_lossy_routing_normalizer,paircanon_p45_decision_tree_wrapper,"bucket/key table, selected residual cover, low-weight overlays, raw BDD/cofactor repeats",tested_nonwinning,student/work/frontend_source_parallel_round75_20260613_1450/sub-unknown-small-redesc-r75/ex285/logs/ex285_r75_paircanon_p45_decision_tree.evaluate.py.log,,,,,,,,,,,
ex285,ex285_r75_paircanon_p67_decision_tree,12-bit Hamming-weight-preserving lossy routing/normalizer with exact input-pair symmetries; current decision-tree source remains smaller than table/BDD residuals.,canonicalize exact input pair 6/7 before current decision-tree source,full_word,medium,811/18/14598,ex285|hamming_weight_preserving_lossy_routing_normalizer|paircanon_p67_decision_tree_wrapper|canonical_pair_input_constraint_on_current_tree|yosys_default_abc_g_AND_then_aigmap|official_evaluate|full_word,sub-unknown-small-redesc-r75,official evaluate.py OK; single-pair canonical source is nonwinning.,paircanon_p67_decision_tree_wrapper,canonicalize exact input pair 6/7 before current decision-tree source,equivalent_nonwinning,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-small-redesc-r75/shared_structure_report.csv,unknown,hamming_weight_preserving_lossy_routing_normalizer,paircanon_p67_decision_tree_wrapper,"bucket/key table, selected residual cover, low-weight overlays, raw BDD/cofactor repeats",tested_nonwinning,student/work/frontend_source_parallel_round75_20260613_1450/sub-unknown-small-redesc-r75/ex285/logs/ex285_r75_paircanon_p67_decision_tree.evaluate.py.log,,,,,,,,,,,
ex288,ex288_r75_vector_onehot_mux_keybdd7,15-bit Hamming-weight-preserving lossy routing/normalizer with low-delay keyBDD/symcof source; remaining gap is area.,express class-onehot mux as one vector mask OR plus selected keyBDD bit 7,full_word,medium,2286/15/34290,ex288|hamming_weight_preserving_lossy_routing_normalizer|vector_onehot_mux_keybdd7|shared_vector_class_mask_mux|yosys_default_abc_g_AND_then_aigmap|official_evaluate|pair_canonical_class_groups,sub-unknown-small-redesc-r75,official evaluate.py OK; vectorized mux source did not reduce ADP.,vector_onehot_mux_keybdd7,express class-onehot mux as one vector mask OR plus selected keyBDD bit 7,equivalent_nonwinning,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-small-redesc-r75/shared_structure_report.csv,unknown,hamming_weight_preserving_lossy_routing_normalizer,vector_onehot_mux_keybdd7,"bucket/key table, selected residual cover, low-weight overlays, raw BDD/cofactor repeats",tested_nonwinning,student/work/frontend_source_parallel_round75_20260613_1450/sub-unknown-small-redesc-r75/ex288/logs/ex288_r75_vector_onehot_mux_keybdd7.evaluate.py.log,,,,,,,,,,,
ex288,ex288_r75_vector_onehot_mux_keybdd7_abc_g_aig_d14,15-bit Hamming-weight-preserving lossy routing/normalizer with low-delay keyBDD/symcof source; remaining gap is area.,express class-onehot mux as one vector mask OR plus selected keyBDD bit 7,full_word,medium,2284/15/34260,ex288|hamming_weight_preserving_lossy_routing_normalizer|vector_onehot_mux_keybdd7|shared_vector_class_mask_mux|yosys_internal_abc_g_aig_d14|official_evaluate|pair_canonical_class_groups,sub-unknown-small-redesc-r75,official evaluate.py OK; low-delay frontend flow still regressed versus current frontend best.,vector_onehot_mux_keybdd7,express class-onehot mux as one vector mask OR plus selected keyBDD bit 7,equivalent_nonwinning,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-small-redesc-r75/shared_structure_report.csv,unknown,hamming_weight_preserving_lossy_routing_normalizer,vector_onehot_mux_keybdd7,"bucket/key table, selected residual cover, low-weight overlays, raw BDD/cofactor repeats",tested_nonwinning,student/work/frontend_source_parallel_round75_20260613_1450/sub-unknown-small-redesc-r75/ex288/logs/ex288_r75_vector_onehot_mux_keybdd7_abc_g_aig_d14.evaluate.py.log,,,,,,,,,,,
ex285,,12-bit Hamming-weight-preserving lossy routing/normalizer with exact input-pair symmetries; current decision-tree source remains smaller than table/BDD residuals.,compact descriptor blocked before RTL,full_word,low,not_synthesized,ex285|compact_state_descriptor_without_table|blocked_high_level_redescription|avoid_table_scale_residuals|no_synth|screen_from_prior_case_notes|full_word,sub-unknown-small-redesc-r75,No bulky residual-cover Verilog emitted.,blocked_high_level_redescription,avoid table-scale residual covers,blocked_no_candidate,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-small-redesc-r75/shared_structure_report.csv,unknown,compact_state_descriptor_without_table,blocked_high_level_redescription,"onehot-boundary, keyBDD, cube cover, bucket table, low-weight overlays",blocked_no_candidate,student/work/frontend_source_parallel_round75_20260613_1450/sub-unknown-small-redesc-r75/ex285/notes/high_level_dossier.md,,,,,,,,,,,
ex288,,15-bit Hamming-weight-preserving lossy routing/normalizer with low-delay keyBDD/symcof source; remaining gap is area.,compact descriptor blocked before RTL,full_word,low,not_synthesized,ex288|compact_state_descriptor_without_table|blocked_high_level_redescription|avoid_table_scale_residuals|no_synth|screen_from_prior_case_notes|full_word,sub-unknown-small-redesc-r75,No bulky residual-cover Verilog emitted.,blocked_high_level_redescription,avoid table-scale residual covers,blocked_no_candidate,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-small-redesc-r75/shared_structure_report.csv,unknown,compact_state_descriptor_without_table,blocked_high_level_redescription,"onehot-boundary, keyBDD, cube cover, bucket table, low-weight overlays",blocked_no_candidate,student/work/frontend_source_parallel_round75_20260613_1450/sub-unknown-small-redesc-r75/ex288/notes/high_level_dossier.md,,,,,,,,,,,
